xpl	0.7244	0.75	0.75	0.75	0.7	0.7	0.67	0.73	0.75	0.709	0.71	0.713	0.69	0.7	0.7	0.71	0.67	0.6702	0.68	0.6442	0.65	0.6556	0.651	0.651	0.651	0.66	0.67	0.6651	0.67	0.67	0.66	0.65	0.6498	0.6901	0.7327	0.7502	0.79	0.7846	0.7745	0.8173	0.803	0.775	0.775	0.82	0.78	0.78	0.7212	0.72	0.7251	0.72	0.83	0.695	0.68	0.674	0.6799	0.6523	0.736	0.666	0.7071	0.706	0.746	0.79	0.7996	0.78	0.775	0.7855	0.76	0.7668	0.77	0.7	0.765	0.74	0.753	0.7816	0.7651	0.76	0.7597	0.78	0.7386	0.74	0.76	0.72	0.6919	0.69	0.7133	0.68	0.658	0.6917	0.68	0.69	0.7048	0.69	0.7	0.7105	0.7335	0.72	0.71	0.68	0.68	0.6889	0.6996	0.681	0.675	0.695	0.68	0.6918	0.6732	0.6699	0.67	0.6562	0.625	0.62	0.61	0.6234	0.6234	0.6185	0.615	0.5975	0.5781	0.565
xplr	1.95	2.01	1.91	1.87	1.9684	1.86	1.86	1.88	1.87	1.84	1.9	1.8869	1.86	1.94	1.93	1.87	1.96	1.75	1.82	1.75	1.76	1.78	1.88	1.96	1.98	1.95	1.95	2.04	2.03	2.06	2.01	2.04	2.05	2.06	2.08	1.99	2.08	2.1	2.08	2.12	2.05	2.2	2.29	2.22	2.1347	2.2501	2.36	2.34	2.4	2.35	2.2701	2.37	2.33	2.29	2.3	2.18	2.4	2.68	3.05	3.21	3.2	3.422	3.44	3.47	3.5	3.5	3.47	3.43	3.27	3.17	3.34	3.68	3.74	3.67	3.78	3.49	3.43	3.57	3.59	3.7	3.5	3.51	3.54	3.65	3.65	3.41	3.43	3.47	3.49	3.52	3.78	3.97	4.02	3.9	3.7	3.55	3.42	3.51	3.42	3.32	3.29	3.33	3.4092	3.28	3.29	3.2	3.163	3.12	3.15	3.17	3.22	3.22	3.12	2.96	3.08	3.11	3.15	3.25	3.16	3.14
xpo	53.16	53.66	52.87	52.81	52.6	53.84	54.45	57.77	58.9	59.99	59.42	59.21	59.49	61.3	61.11	61.07	61.52	63.02	62.34	62.95	61.41	62.08	61.16	60.84	64.34	64.76	64.63	64.71	64.07	63.38	63.76	62.26	63.02	63.06	62.96	63.84	60.46	61.22	60.51	60.5	60.67	60.75	61.58	61.62	59.29	60.09	60.11	58.87	58.96	58.13	57.69	58.03	57.68	57.39	54.99	55.63	57.39	56.58	55.93	55.32	55.45	55.54	57.76	57.49	56.75	58.46	58.71	59.76	61.42	61.2	61.93	61.92	60.59	60.04	61.27	61.77	62.55	61.05	60.42	60.83	61.34	61.54	63.17	64	64.09	62.77	63.74	64.79	66.26	67.78	67.21	67.3	66.91	66.22	66.99	67.2	67.84	68.27	68.12	67.2	66.74	64.64	64.76	65.75	67.61	67.69	68.44	68.16	69.14	69.59	69.05	69.35	69.7	71.56	73.25	73.83	73.58	73.55	71.06	72.1
xray	62.548	62.887	62.538	62.439	63.335	63.875	64.263	63.715	63.37	63.415	63.266	63.157	62.568	63.097	63.545	63.127	63.515	63.795	63.167	63.585	63.645	63.655	63.875	64.243	65.152	64.433	64.732	64.533	64.982	64.193	64.503	64.143	64.003	64.303	64.792	65.012	64.962	64.902	64.513	62.935	62.825	62.596	62.955	63.075	62.815	62.556	61.937	61.427	61.068	61.258	61.497	62.246	61.318	56.145	55.416	55.247	54.208	53.679	53.399	53.09	52.77	52.711	53.609	53.14	54.538	54.717	55.077	55.616	55.586	56.485	56.575	56.405	56.854	57.743	58.352	59.151	59.36	59.051	58.032	59.251	58.622	57.763	58.562	57.723	58.442	59.071	59.46	59.68	59.23	59.81	56.33	55.65	57.21	58.98	58.51	58.09	57.57	57.32	58.41	58.22	59.19	59.5	59.5	60.67	61.84	61.82	61.09	61	61.37	61.35	61.28	61.07	61.16	61.16	64.8	63.89	64.38	64.52	65.56	65.58
xrf	7.28	7.06	7.07	7.08	7.08	6.88	6.4	6.39	6.18	6.82	7	6.87	6.89	6.93	6.95	6.99	6.79	6.74	6.58	6.59	6.18	6.33	6.16	6.01	5.95	5.82	5.72	5.8	5.76	5.93	5.93	5.93	6	6.07	6.3	7.15	6.94	6.99	6.96	6.95	6.8	6.83	6.79	6.79	6.75	6.66	7	7	6.87	6.86	6.93	6.96	6.99	6.97	6.9	6.86	6.89	6.89	6.89	6.55	6.35	6.07	6.1	6.1	6.18	6.31	6.11	6.38	6.42	6.47	6.82	6.71	6.51	6.48	6.16	6.27	6.19	6.31	6.18	6.13	6.13	6.1	6.1	6.4	7.06	6.75	6.72	6.62	6.64	6.59	6.7049	7.19	7.57	7.42	7.35	7.74	7.86	10.46	9.9	11.32	10.91	11.43	10.5	10.22	9.88	9.06	8.69	7.85	7.82	7.89	8.4	8.08	7.99	7.92	7.79	7.45	7.35	7.39	8.43	9.34
xrm	7.02	7.03	7.1	7.01	7.01	7.01	7	7.03	6.91	6.94	7.04	7.09	7.29	7.38	7.39	7.19	7	7.06	7.04	7.01	7.11	7.54	7.49	7.15	7.38	7.19	7.19	7.42	7.45	7.37	7.3	7.3	7.45	7.4	7.36	7.47	7.46	7.38	7.48	7.5	7.38	7.31	7.42	7.22	7.37	7.37	7.27	7.03	6.45	6.04	5.94	6.01	6	5.95	5.9	6.07	6.2	6.09	6.11	6.15	6.11	6.15	6.05	6.08	6.08	6.03	5.95	5.98	6.03	6.05	6	5.96	6.04	5.98	5.91	5.92	5.9	5.89	5.86	5.99	5.9	5.9	5.76	5.7	5.64	5.6	5.19	5.01	4.63	4.78	4.89	4.94	5.01	5.18	5.26	5	5	4.96	4.81	4.85	4.87	5	4.9	4.75	4.82	4.7	4.58	4.64	4.68	4.65	4.66	4.7	4.49	4.22	4.26	4.24	4.13	4.02	4	4
xrx	27.633	27.515	27.554	27.869	27.83	27.948	27.869	27.475	27.554	27.711	27.554	27.318	27.79	27.593	27.279	27.347	28.046	28.332	27.879	27.435	27.525	27.987	28.725	28.518	29.074	28.906	28.518	28.638	28.241	28.141	28.568	28.667	28.687	28.826	29.025	29.203	29.134	29.084	29.164	29.193	29.233	30.335	30.802	30.265	30.355	30.206	30.444	32.221	32.31	31.864	31.983	32.271	32.072	32.062	31.208	31.427	31.893	32.042	32.171	31.615	31.218	31	31.268	31.606	31.814	32.022	32.072	32.003	32.062	32.032	32.32	31.883	31.913	31.645	31.328	31.824	32.558	32.479	32.568	32.4	32.052	32.201	32.638	32.688	32.886	33.005	33.462	33.7	33.86	33.29	33.46	33.1	32.86	33.03	32.92	32.61	32.71	32.74	32.71	33.01	33.09	32.75	32.84	33.1	33.38	33.28	33.45	33.1	30.65	30.48	30.23	30.31	30.29	29.48	29.06	29.08	28.59	29.37	29.27	29.17
xshd	23.88	23.919	23.757	23.773	23.622	24.029	24.252	24.01	23.896	24.026	24.334	24.559	24.637	24.577	24.499	24.499	24.499	24.587	24.161	24.118	24.133	24.133	24.308	24.207	24.228	23.985	24.056	24.056	24.054	23.719	23.98	23.778	23.508	23.765	23.785	23.903	23.913	23.923	24.206	24.28	24.19	24.18	24.28	24.277	24.26	24.19	24.151	24.151	24.073	24.053	23.976	23.983	23.923	23.626	23.578	23.43	23.746	23.532	23.458	23.287	23.195	23.107	23.26	23.26	23.295	23.294	23.175	23.185	23.265	23.373	23.503	23.235	23.235	23.135	23.215	23.463	23.466	23.466	23.463	23.523	23.792	23.652	23.723	23.664	23.774	23.953	24.203	24.412	24.491	24.621	24.76	24.91	25.059	25.298	25.053	23.883	25.259	25.288	25.308	25.276	25.249	25.129	25.283	25.298	25.288	25.12	25.09	25.09	25.219	25.2401	25	24.985	25.1096	25.2432	24.922	24.922	24.922	24.9497	24.93	24.92
xshq	24.861	24.861	24.861	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.782	24.899	24.899	24.899	25.051	25.051	25.051	25.051	25.051	25.051	25.051	25.038	25.09	24.94	24.94	24.94	25.27	25.409	25.409	25.409	25.409	25.429	25.375	25.375	25.375	25.375	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	25.3	24.013	24.013	24.013	24.013	24.013	24.013	24.052	24.052	24.052	24.052	24.052	24.052	24.0524	24.0524	24.0524	24.0524	24.0524	24.0524	24.0524	24.0524	24.0524	26.15	26.17	26.24	26.374	26.374	26.374	26.1	26.1	26.1	26.17	26.17	26.06	26.06	26.27	26.27	26.2837	26.2	26.2	26.2	26.28	26.38	26.0047	26.0047	26.0047	26.0047	25.918	25.918	25.918	25.918	25.918	25.918
xth	62.844	63.308	63.976	63.737	64.135	64.224	63.093	63.737	66.325	65.838	64.603	65.428	65.312	65.76	67.243	67.65	68.001	68.488	68.467	68.631	69.304	69.195	68.985	69.622	68.915	69.026	68.804	68.492	69.369	68.206	67.783	68.728	68.722	67.783	68.329	68.867	67.905	69.683	70.474	70.352	70.342	70.624	72.289	72.856	73.834	73.853	72.323	71.63	72.08	72.7	73.315	74.601	74.601	74.088	74.209	74.132	72.767	72.196	73.379	73.197	72.73	72.41	73.284	72.561	72.221	71.771	70.708	71.282	73.397	74.157	74.726	75.081	74.768	75.671	76.214	76.104	74.073	74.053	73.787	74.876	73.465	73.439	72.38	72.32	72.46	71.735	72.131	73.878	73.887	73.768	75.515	76.6027	76.5481	76.64	76.57	76.05	76.45	78.01	78.85	79.0999	78.75	79.33	79.4063	79.62	79	79.4099	79.37	79.9	79.35	79.66	78.57	79.8	78.14	77.36	78.03	78.3797	78.3399	78.9534	78.2999	79.385
